Description,Year,Credit Hours,Teaching Institution,Level,Category,Location,In-class Hours,Accrediting Institution
[Linear] Mixed Models for Biologists,2014,1,University of Florida,graduate,stats,"Gainesville, Florida",,University of Florida
Professional Practice in the Agricultural and Life Sciences,2014,1,University of Florida,graduate,sci_prof_dev,"Gainesville, Florida",,University of Florida
Bird Introductions,2014,3,University of Florida,graduate,wildlife,"Gainesville, Florida",,University of Florida
Data Analysis in the Natural Sciences,2014,3,University of Florida,graduate,stats; data,"Gainesville, Florida",,University of Florida
Broader Impacts ,2014,2,University of Florida,graduate,stem_other,"Gainesville, Florida",,University of Florida
Analysis and Management of Vertebrate Populations and Communities,2014,3,University of Florida; U.S. Geological Survey Patuxent Wildlife Research Center,workshop,stats,"Gainesville, Florida",,University of Florida; U.S. Geological Survey Patuxent Wildlife Research Center
Ecological Statistics,2015,4,University of Nebraska,graduate,stats,"Lincoln, Nebraska",,University of Nebraska
Landscape Ecology of Biological Invasions,2016,2,University of Nebraska,graduate,ecology,"Lincoln, Nebraska",,University of Nebraska
Ecological Interactions (Community Ecology),2017,3,University of Nebraska,graduate,ecology,"Lincoln, Nebraska",,University of Nebraska
Likelihood and Bayesian Ecology,2016,3,University of Nebraska,graduate,stats,"Lincoln, Nebraska",,University of Nebraska
Foundations of Resilience,2017,3,University of Nebraska,graduate,stem_other,"Lincoln, Nebraska",,University of Nebraska
Principles of Learning,2019,NA,University of Nebraska,workshop,prof_dev_generic,"Lincoln, Nebraska",,University of Nebraska
Writing Learning Objectives,2019,NA,University of Nebraska,workshop,prof_dev_generic,"Lincoln, Nebraska",,University of Nebraska
Species Distribution Modeling,2016,NA,NECFWRU,workshop,wildlife; stats,"Lincoln, Nebraska",48,University of Nebraska
eBird Workshop,2016,NA,North American Ornithological Conference,workshop,data; wildife,"Lincoln, Nebraska",8,NA
"Structural Equation Modeling, Summer 2017, Kellogg Biological Station, MI",2017,NA,"Kellogg Biological Station, Michigan State University",workshop,stats,"Lincoln, Nebraska",40,University of Nebraska & Michigan State University
"Stochastic Modeling, Summer 2017, Kellogg Biological Station, MI",2017,NA,"Kellogg Biological Station, Michigan State University",workshop,stats,"Lincoln, Nebraska",40,University of Nebraska & Michigan State University
Scaling and Fractals in Ecology,2019,NA,Santa Fe Institute,workshop,stats,Online,20,NA
Statistical Models for Movement Ecology,2019,NA,Internationak Association for Landsacpe Ecology,workshop,stats,"Fort Collins, CO",8,NA
Structured Decision Making ,2020,NA,"National Conservation Training Center, U.S. Fish and Wildlife Service",workshop,ecology; sci_prof_def; stem_other,"Westborough, Massachusetts",40,Department of Interior
Integrated Population Modelling,2019,NA,Mark Kery and Michael Schaub,workshop,stats; ecology,"Missoula, Montana",40,Department of Interior
